evolution$generation;evolution$evaluated;evolution$samples;maxProbaToSwitch;constraintsStrength;inertiaCoefficient;healthyDietReward;objective$deltaHealth;objective$deltaSocialInequality;%Healthy_vs._2002;%Healthy_vs._2008;socialIneq_vs._2002;typo;typo_name;socialInequality;deltaSocialInequality;opinionMedian;numberOfHealthy;deltaHealth
376800;376800;1;0,856;0,140;0,932;0,006;319,631,427;0,281;up;down;up;up_down_up;smallIncrease%Healthy;[1.6133228164081568];[0.28142452509184324];[0.47273045778274536];[918680];[319631.42711645295]
376800;376800;3;0,874;0,149;0,906;0,010;314,868,541;0,299;up;down;up;up_down_up;smallIncrease%Healthy;[1.6031217722566533,1.5926393211351615,1.5952935620885964];[0.2916255692433467,0.3021080203648385,0.2994537794114036];[0.4710395336151123,0.47099146246910095,0.471060186624527];[917292,917077,918925];[314163.42711645295,315866.42711645295,314868.5408605286]
376800;376800;8;0,905;0,149;0,844;0,018;306,010,927;0,332;up;down;up;up_down_up;smallIncrease%Healthy;[1.5647338212537147,1.5602968965870068,1.5677895557418142,1.57260573087641,1.5537631468720194,1.5635323387897013,1.560966297679027,1.5583299439049862];[0.3300135202462853,0.33445044491299325,0.3269577857581858,0.3221416106235899,0.3409841946279806,0.3312150027102987,0.33378104382097296,0.33641739759501377];[0.47291773557662964,0.47274354100227356,0.47282731533050537,0.4727555215358734,0.4728683829307556,0.4728371202945709,0.47287124395370483,0.4729648232460022];[916811,914574,914795,914187,915983,914342,915492,915569];[305906.42711645295,305803.42711645295,305016.42711645295,306426.42711645295,306992.42711645295,306115.42711645295,306721.42711645295,305138.42711645295]
376800;376800;14;0,872;0,145;0,907;0,010;315,866,927;0,298;up;down;up;up_down_up;smallIncrease%Healthy;[1.5996296247173103,1.598335849956051,1.5937576819487147,1.5995252558195339,1.5994799544400886,1.589710834860106,1.5961389390465146,1.5951072814104204,1.600080218602966,1.59885986645479,1.5941648266155792,1.5947728122973348,1.599795740024222,1.5851409385484496];[0.2951177167826897,0.2964114915439491,0.3009896595512853,0.29522208568046615,0.2952673870599114,0.3050365066398941,0.2986084024534854,0.29964006008957966,0.2946671228970341,0.29588747504521007,0.3005825148844208,0.2999745292026652,0.29495160147577804,0.3096064029515504];[0.4711851179599762,0.4711529314517975,0.47122079133987427,0.47113731503486633,0.4712282121181488,0.471210777759552,0.4711882770061493,0.4712798297405243,0.4711211919784546,0.4712250530719757,0.4712340533733368,0.4711540639400482,0.4711059331893921,0.47122010588645935];[915771,915288,916083,914909,917845,917242,916152,916320,915351,917327,916990,917373,916691,917022];[314872.42711645295,316123.42711645295,316678.42711645295,315482.42711645295,315782.42711645295,317021.42711645295,316191.42711645295,315047.42711645295,315004.42711645295,315978.42711645295,315667.42711645295,315416.5408605286,316328.42711645295,315951.42711645295]
376800;376800;12;0,783;0,113;0,983;0,000;322,999,041;0,258;up;down;up;up_down_up;smallIncrease%Healthy;[1.6413120083685966,1.6264427670461952,1.6406621461465962,1.6318969742616918,1.6374591215184144,1.6321323146322897,1.6368580190341684,1.6374064760544456,1.6371612404350102,1.6294653206751988,1.6284262018869515,1.636460737562595];[0.25343533313140343,0.26830457445380484,0.2540851953534038,0.26285036723830824,0.2572882199815856,0.2626150268677103,0.2578893224658316,0.25734086544555446,0.2575861010649898,0.26528202082480123,0.2663211396130485,0.258286603937405];[0.4886336624622345,0.4886506497859955,0.48863843083381653,0.4886678457260132,0.48865464329719543,0.48863035440444946,0.4886210262775421,0.488624632358551,0.48866862058639526,0.4886566698551178,0.4886332154273987,0.4886535108089447];[915315,914688,915101,915154,916651,915468,915518,915697,915901,915237,916656,914762];[322628.5408605285,323033.5408605285,322008.5408605285,323823.5408605285,322964.5408605285,324325.5408605285,322541.5408605285,322702.5408605285,322892.5408605285,323444.5408605285,323533.5408605285,323189.5408605285]
376800;376800;1;0,784;0,111;0,983;0,000;322,649,541;0,253;up;down;up;up_down_up;smallIncrease%Healthy;[1.641574057747773];[0.2531732837522269];[0.4885913133621216];[915192];[322649.5408605285]
376800;376800;3;0,905;0,149;0,838;0,020;305,249,427;0,336;up;down;up;up_down_up;smallIncrease%Healthy;[1.5668434930669475,1.559092936996145,1.5498534647588842];[0.32790384843305254,0.335654404503855,0.3448938767411158];[0.4737681448459625,0.4737553000450134,0.473734050989151];[913703,913896,915242];[305158.42711645295,305249.42711645295,305429.42711645295]
376800;376800;1;0,857;0,140;0,931;0,006;321,804,427;0,276;up;down;up;up_down_up;smallIncrease%Healthy;[1.618391303977116];[0.27635603752288396];[0.4725162386894226];[913425];[321804.42711645295]
376800;376800;25;0,856;0,140;0,931;0,006;320,312,427;0,283;up;down;up;up_down_up;smallIncrease%Healthy;[1.6048390481580872,1.6110394395255083,1.6096837438797067,1.6165843613798239,1.6137823692856905,1.6178951814597016,1.609873373783609,1.6114877303969486,1.6148097356923736,1.611645427934925,1.6083529182859546,1.610362560440272,1.606138971643202,1.6094597450239316,1.6101373689971124,1.6162347706568059,1.6100107421009668,1.6080259322764279,1.6099414060603099,1.6156804234464786,1.6124554928637902,1.6118796780114768,1.6207796826223877,1.6141946570781125,1.6132141055145308];[0.2899082933419128,0.2837079019744917,0.2850635976202933,0.27816298012017615,0.2809649722143095,0.27685216004029845,0.28487396771639095,0.2832596111030514,0.2799376058076264,0.28310191356507497,0.2863944232140454,0.284384781059728,0.28860836985679805,0.2852875964760684,0.28460997250288766,0.27851257084319414,0.2847365993990332,0.28672140922357214,0.2848059354396901,0.27906691805352146,0.2822918486362098,0.2828676634885232,0.2739676588776123,0.2805526844218875,0.2815332359854692];[0.4725596308708191,0.4724538326263428,0.47253456711769104,0.47249165177345276,0.47252655029296875,0.47258904576301575,0.47250819206237793,0.4724147319793701,0.47252199053764343,0.472608745098114,0.4725184440612793,0.4724864959716797,0.47254326939582825,0.47249194979667664,0.4726172089576721,0.4725257158279419,0.4725151062011719,0.4725181758403778,0.4725397229194641,0.47262027859687805,0.472522109746933,0.47245797514915466,0.4725342094898224,0.4725000560283661,0.4725407660007477];[913014,914217,914399,913649,914956,914927,915410,914422,912865,915271,913863,913022,913368,914615,915548,912939,912679,912902,913037,915801,912176,913083,913512,912965,911903];[321075.42711645295,320340.42711645295,319092.42711645295,320778.42711645295,320833.42711645295,318916.42711645295,319457.42711645295,318799.42711645295,321416.42711645295,319164.42711645295,320702.42711645295,320631.42711645295,321123.42711645295,320510.42711645295,317889.42711645295,322068.42711645295,321922.42711645295,320053.42711645295,320262.42711645295,319972.42711645295,320029.42711645295,319444.42711645295,319627.42711645295,320620.42711645295,320312.42711645295]
376800;376800;3;0,872;0,145;0,905;0,010;317,154,427;0,297;up;down;up;up_down_up;smallIncrease%Healthy;[1.6073329928926041,1.5972037089761604,1.5979696427495318];[0.2874143486073959,0.29754363252383964,0.2967776987504682];[0.4709066152572632,0.4710518419742584,0.4710499048233032];[908438,909705,909492];[316409.42711645295,317154.42711645295,317671.42711645295]
376800;376800;1;0,853;0,136;0,933;0,006;320,361,427;0,278;up;down;up;up_down_up;smallIncrease%Healthy;[1.6166953300302027];[0.2780520114697973];[0.4728430211544037];[907106];[320361.42711645295]
376800;376800;25;0,891;0,145;0,849;0,021;307,702,427;0,333;up;down;up;up_down_up;smallIncrease%Healthy;[1.5761612524585864,1.5575177589943705,1.5637601053242236,1.566296885959666,1.5633954537468024,1.560560257693978,1.555302328197526,1.57182521291167,1.557890989650547,1.5635579766954033,1.5581318351554025,1.5516483712194697,1.564072858108549,1.5590678494307348,1.567642981230521,1.5576736643725069,1.5674253522941235,1.5635809501749427,1.5570889260005814,1.5574782274423062,1.567573967650582,1.5617187809662532,1.5617375488436074,1.5602876125999776,1.5578895873472023];[0.3185860890414136,0.3372295825056295,0.3309872361757764,0.32845045554033403,0.33135188775319757,0.3341870838060219,0.339445013302474,0.3229221285883299,0.33685635184945295,0.3311893648045967,0.33661550634459747,0.34309897028053027,0.330674483391451,0.3356794920692652,0.327104360269479,0.33707367712749314,0.3273219892058765,0.3311663913250573,0.33765841549941866,0.3372691140576938,0.327173373849418,0.33302856053374685,0.33300979265639263,0.3344597289000224,0.33685775415279773];[0.47412946820259094,0.4743211269378662,0.47416046261787415,0.47422200441360474,0.4742811322212219,0.47418197989463806,0.4742144048213959,0.47427457571029663,0.47423186898231506,0.47418591380119324,0.474267840385437,0.47414883971214294,0.4743133783340454,0.47420573234558105,0.4742715656757355,0.47416597604751587,0.4742079973220825,0.47428762912750244,0.47413158416748047,0.4742416441440582,0.47430112957954407,0.4741707146167755,0.4741803705692291,0.4741935729980469,0.4742871820926666];[905866,906937,906607,906229,907257,905798,905882,907005,906998,906417,906442,905134,908831,904861,908036,905167,906227,906288,905259,906665,908255,906380,904869,905785,906409];[307387.42711645295,308108.42711645295,308156.42711645295,307280.42711645295,307290.42711645295,307647.42711645295,308221.42711645295,307116.42711645295,308801.42711645295,307946.42711645295,307795.42711645295,308211.42711645295,309522.42711645295,307702.42711645295,306427.42711645295,307324.42711645295,305922.42711645295,307325.42711645295,308848.42711645295,308656.42711645295,306984.42711645295,307013.42711645295,308168.42711645295,306800.42711645295,308474.42711645295]
376800;376800;1;0,779;0,111;0,985;0,000;323,279,205;0,239;up;down;up;up_down_up;smallIncrease%Healthy;[1.6554737872448773];[0.23927355425512276];[0.4899667203426361];[902822];[323279.2050941052]
376800;376800;15;0,780;0,110;0,985;0,000;324,379,541;0,239;up;down;up;up_down_up;smallIncrease%Healthy;[1.6549943613923,1.658119336767588,1.654497712591412,1.6477746051320195,1.655947274624612,1.6561232105864139,1.658181411335851,1.6430040819887415,1.6560343961068988,1.6562226178202109,1.6505928450410947,1.650261488971856,1.6633238943078725,1.6595230213228986,1.657399747893141];[0.23975298010770008,0.23662800473241208,0.24024962890858803,0.24697273636798056,0.23880006687538802,0.23862413091358614,0.23656593016414895,0.25174325951125853,0.23871294539310117,0.23852472367978916,0.2441544964589053,0.24448585252814392,0.23142344719212748,0.23522432017710138,0.23734759360685898];[0.4897253215312958,0.4897366762161255,0.489719033241272,0.48972901701927185,0.48972803354263306,0.48970484733581543,0.48970887064933777,0.48971474170684814,0.48969629406929016,0.489743173122406,0.4897557497024536,0.4897317588329315,0.48970022797584534,0.4897640645503998,0.4897204339504242];[902203,902149,901088,901209,900852,901679,902016,901561,901300,900835,902927,902155,901472,905252,901606];[323772.5408605285,324828.5408605285,325325.42711645283,324224.5408605285,323505.42711645283,324726.5408605285,324379.5408605285,325652.5408605285,324427.42711645283,325550.5408605285,323832.5408605285,324118.42711645283,323863.5408605285,324511.5408605285,324059.5408605285]
376800;376800;1;0,778;0,110;0,985;0,000;325,285,427;0,236;up;down;up;up_down_up;smallIncrease%Healthy;[1.6585297270008035];[0.23621761449919654];[0.49010682106018066];[900278];[325285.42711645283]
376800;376800;1;0,781;0,110;0,983;0,000;323,669,541;0,239;up;down;up;up_down_up;smallIncrease%Healthy;[1.655566344332029];[0.23918099716797103];[0.4888303279876709];[897140];[323669.5408605285]
376800;376800;2;0,906;0,149;0,828;0,021;303,282,943;0,338;up;down;up;up_down_up;smallIncrease%Healthy;[1.5573622465766113,1.556652597749905];[0.33738509492338875,0.33809474375009496];[0.47475484013557434,0.4746323227882385];[896069,895243];[302584.42711645295,303981.45886248467]
